Date,Timestamp,Symbol,Expiry,Strikes (Low/High),Buy Low CE (Ask),Sell High CE (Bid),Buy High PE (Ask),Sell Low PE (Bid),Net Exec Cost,Theoretical Value,IRR Tier Achieved,Target Mismatch (For Tier),Profit Per Share,Total Paper Profit
20-03-2026,09:16:12,PNB,30-03-2026,100.0/111.0,11.58,2.83,2.25,0.3,10.7,11,12%,0.2903,0.3,2400
20-03-2026,09:16:12,PNB,30-03-2026,100.0/115.0,11.58,1.08,4.51,0.3,14.71,15,10%,0.2492,0.29,2320
20-03-2026,09:16:12,PNB,30-03-2026,112.0/115.0,2.2,1.08,4.51,2.89,2.74,3,10%,0.2492,0.26,2080
20-03-2026,09:16:13,PNB,30-03-2026,100.0/111.0,11.58,2.83,2.25,0.3,10.7,11,12%,0.2903,0.3,2400
20-03-2026,09:16:13,PNB,30-03-2026,100.0/115.0,11.58,1.08,4.51,0.3,14.71,15,10%,0.2492,0.29,2320
20-03-2026,09:16:13,PNB,30-03-2026,112.0/115.0,2.2,1.08,4.51,2.89,2.74,3,10%,0.2492,0.26,2080
20-03-2026,09:16:13,PNB,30-03-2026,100.0/111.0,11.58,2.83,2.25,0.3,10.7,11,12%,0.2903,0.3,2400
20-03-2026,09:16:13,PNB,30-03-2026,100.0/115.0,11.58,1.08,4.51,0.3,14.71,15,10%,0.2492,0.29,2320
20-03-2026,09:16:13,PNB,30-03-2026,112.0/115.0,2.2,1.08,4.51,2.89,2.74,3,10%,0.2492,0.26,2080
20-03-2026,09:16:13,PNB,30-03-2026,100.0/111.0,11.58,2.83,2.25,0.3,10.7,11,12%,0.2903,0.3,2400
20-03-2026,09:16:13,PNB,30-03-2026,100.0/115.0,11.58,1.08,4.51,0.3,14.71,15,10%,0.2492,0.29,2320
20-03-2026,09:16:13,PNB,30-03-2026,112.0/115.0,2.2,1.08,4.51,2.89,2.74,3,10%,0.2492,0.26,2080
20-03-2026,09:16:13,PNB,30-03-2026,100.0/111.0,11.58,2.83,2.25,0.3,10.7,11,12%,0.2903,0.3,2400
20-03-2026,09:16:13,PNB,30-03-2026,100.0/115.0,11.58,1.08,4.51,0.3,14.71,15,10%,0.2492,0.29,2320
20-03-2026,09:16:13,PNB,30-03-2026,112.0/115.0,2.2,1.08,4.51,2.89,2.74,3,10%,0.2492,0.26,2080
20-03-2026,09:16:14,PNB,30-03-2026,100.0/111.0,11.58,2.83,2.25,0.3,10.7,11,12%,0.2903,0.3,2400
20-03-2026,09:16:14,PNB,30-03-2026,100.0/115.0,11.58,1.08,4.51,0.3,14.71,15,10%,0.2492,0.29,2320
20-03-2026,09:16:14,PNB,30-03-2026,112.0/115.0,2.2,1.08,4.51,2.89,2.74,3,10%,0.2492,0.26,2080
20-03-2026,09:16:14,PNB,30-03-2026,100.0/111.0,11.58,2.83,2.25,0.3,10.7,11,12%,0.2903,0.3,2400
20-03-2026,09:16:14,PNB,30-03-2026,100.0/115.0,11.58,1.08,4.51,0.3,14.71,15,10%,0.2492,0.29,2320
20-03-2026,09:16:15,PNB,30-03-2026,112.0/115.0,2.2,1.08,4.51,2.89,2.74,3,10%,0.2492,0.26,2080
20-03-2026,09:16:15,PNB,30-03-2026,100.0/111.0,11.58,2.83,2.25,0.3,10.7,11,12%,0.2903,0.3,2400
20-03-2026,09:16:15,PNB,30-03-2026,100.0/115.0,11.58,1.08,4.51,0.3,14.71,15,10%,0.2492,0.29,2320
20-03-2026,09:16:15,PNB,30-03-2026,112.0/115.0,2.2,1.08,4.51,2.89,2.74,3,10%,0.2492,0.26,2080
20-03-2026,09:16:16,PNB,30-03-2026,100.0/111.0,11.58,2.83,2.25,0.3,10.7,11,12%,0.2903,0.3,2400
20-03-2026,09:16:16,PNB,30-03-2026,100.0/115.0,11.58,1.08,4.51,0.3,14.71,15,10%,0.2492,0.29,2320
20-03-2026,09:16:16,PNB,30-03-2026,112.0/115.0,2.2,1.08,4.51,2.89,2.74,3,10%,0.2492,0.26,2080
20-03-2026,09:16:16,PNB,30-03-2026,100.0/111.0,11.58,2.83,2.25,0.3,10.7,11,12%,0.2903,0.3,2400
20-03-2026,09:16:16,PNB,30-03-2026,100.0/115.0,11.58,1.08,4.51,0.3,14.71,15,10%,0.2492,0.29,2320
20-03-2026,09:16:16,PNB,30-03-2026,112.0/115.0,2.2,1.08,4.51,2.89,2.74,3,10%,0.2492,0.26,2080
20-03-2026,09:16:16,PNB,30-03-2026,100.0/111.0,11.58,2.83,2.25,0.3,10.7,11,12%,0.2903,0.3,2400
20-03-2026,09:16:16,PNB,30-03-2026,100.0/115.0,11.58,1.08,4.51,0.3,14.71,15,10%,0.2492,0.29,2320
20-03-2026,09:16:16,PNB,30-03-2026,112.0/115.0,2.2,1.08,4.51,2.89,2.74,3,10%,0.2492,0.26,2080
20-03-2026,09:16:17,PNB,30-03-2026,100.0/111.0,11.58,2.83,2.25,0.3,10.7,11,12%,0.2903,0.3,2400
20-03-2026,09:16:17,PNB,30-03-2026,100.0/115.0,11.58,1.08,4.51,0.3,14.71,15,10%,0.2492,0.29,2320
20-03-2026,09:16:17,PNB,30-03-2026,112.0/115.0,2.2,1.08,4.51,2.89,2.74,3,10%,0.2492,0.26,2080
20-03-2026,09:16:17,PNB,30-03-2026,100.0/111.0,11.58,2.83,2.25,0.3,10.7,11,12%,0.2903,0.3,2400
20-03-2026,09:16:17,PNB,30-03-2026,100.0/115.0,11.58,1.08,4.51,0.3,14.71,15,10%,0.2492,0.29,2320
20-03-2026,09:16:17,PNB,30-03-2026,112.0/115.0,2.2,1.08,4.51,2.89,2.74,3,10%,0.2492,0.26,2080
20-03-2026,09:16:17,PNB,30-03-2026,100.0/111.0,11.58,2.83,2.25,0.3,10.7,11,12%,0.2903,0.3,2400
20-03-2026,09:16:17,PNB,30-03-2026,100.0/115.0,11.58,1.08,4.51,0.3,14.71,15,10%,0.2492,0.29,2320
20-03-2026,09:16:17,PNB,30-03-2026,112.0/115.0,2.2,1.08,4.51,2.89,2.74,3,10%,0.2492,0.26,2080
20-03-2026,09:16:18,PNB,30-03-2026,100.0/111.0,11.58,2.83,2.25,0.3,10.7,11,12%,0.2903,0.3,2400
20-03-2026,09:16:18,PNB,30-03-2026,100.0/115.0,11.58,1.08,4.51,0.3,14.71,15,10%,0.2492,0.29,2320
20-03-2026,09:16:18,PNB,30-03-2026,112.0/115.0,2.2,1.08,4.51,2.89,2.74,3,10%,0.2492,0.26,2080
20-03-2026,09:16:18,PNB,30-03-2026,100.0/111.0,11.58,2.83,2.25,0.3,10.7,11,12%,0.2903,0.3,2400
20-03-2026,09:16:18,PNB,30-03-2026,100.0/115.0,11.58,1.08,4.51,0.3,14.71,15,10%,0.2492,0.29,2320
20-03-2026,09:16:18,PNB,30-03-2026,112.0/115.0,2.2,1.08,4.51,2.89,2.74,3,10%,0.2492,0.26,2080
20-03-2026,09:16:18,PNB,30-03-2026,100.0/111.0,11.58,2.83,2.25,0.3,10.7,11,12%,0.2903,0.3,2400
20-03-2026,09:16:18,PNB,30-03-2026,100.0/115.0,11.58,1.08,4.51,0.3,14.71,15,10%,0.2492,0.29,2320
20-03-2026,09:16:18,PNB,30-03-2026,112.0/115.0,2.2,1.08,4.51,2.89,2.74,3,10%,0.2492,0.26,2080
20-03-2026,09:16:19,PNB,30-03-2026,100.0/111.0,11.58,2.83,2.25,0.3,10.7,11,12%,0.2903,0.3,2400
20-03-2026,09:16:19,PNB,30-03-2026,100.0/115.0,11.58,1.08,4.51,0.3,14.71,15,10%,0.2492,0.29,2320
20-03-2026,09:16:19,PNB,30-03-2026,112.0/115.0,2.2,1.08,4.51,2.89,2.74,3,10%,0.2492,0.26,2080
20-03-2026,09:16:19,PNB,30-03-2026,100.0/111.0,11.58,2.83,2.25,0.3,10.7,11,12%,0.2903,0.3,2400
20-03-2026,09:16:19,PNB,30-03-2026,100.0/115.0,11.58,1.08,4.51,0.3,14.71,15,10%,0.2492,0.29,2320
20-03-2026,09:16:19,PNB,30-03-2026,112.0/115.0,2.2,1.08,4.51,2.89,2.74,3,10%,0.2492,0.26,2080
20-03-2026,09:16:19,PNB,30-03-2026,100.0/111.0,11.58,2.83,2.25,0.3,10.7,11,12%,0.2903,0.3,2400
20-03-2026,09:16:19,PNB,30-03-2026,100.0/115.0,11.58,1.08,4.51,0.3,14.71,15,10%,0.2492,0.29,2320
20-03-2026,09:16:19,PNB,30-03-2026,112.0/115.0,2.2,1.08,4.51,2.89,2.74,3,10%,0.2492,0.26,2080
20-03-2026,09:16:20,PNB,30-03-2026,100.0/111.0,11.58,2.83,2.25,0.3,10.7,11,12%,0.2903,0.3,2400
20-03-2026,09:16:20,PNB,30-03-2026,100.0/115.0,11.58,1.08,4.51,0.3,14.71,15,10%,0.2492,0.29,2320
20-03-2026,09:16:20,PNB,30-03-2026,112.0/115.0,2.2,1.08,4.51,2.89,2.74,3,10%,0.2492,0.26,2080
20-03-2026,09:16:20,PNB,30-03-2026,100.0/111.0,11.58,2.83,2.25,0.3,10.7,11,12%,0.2903,0.3,2400
20-03-2026,09:16:20,PNB,30-03-2026,100.0/115.0,11.58,1.08,4.51,0.3,14.71,15,10%,0.2492,0.29,2320
20-03-2026,09:16:20,PNB,30-03-2026,112.0/115.0,2.2,1.08,4.51,2.89,2.74,3,10%,0.2492,0.26,2080
20-03-2026,09:18:26,PNB,30-03-2026,108.0/110.0,5.08,3.88,1.69,1.1,1.79,2,8%,0.2081,0.21,1680
20-03-2026,09:18:27,PNB,30-03-2026,108.0/110.0,5.08,3.88,1.69,1.1,1.79,2,8%,0.2081,0.21,1680
20-03-2026,09:18:27,PNB,30-03-2026,108.0/110.0,5.08,3.88,1.69,1.1,1.79,2,8%,0.2081,0.21,1680
20-03-2026,09:18:28,PNB,30-03-2026,108.0/110.0,5.08,3.88,1.69,1.1,1.79,2,8%,0.2081,0.21,1680
20-03-2026,09:18:28,PNB,30-03-2026,108.0/110.0,5.08,3.88,1.69,1.1,1.79,2,8%,0.2081,0.21,1680
20-03-2026,09:18:28,PNB,30-03-2026,108.0/110.0,5.08,3.88,1.69,1.1,1.79,2,8%,0.2081,0.21,1680
20-03-2026,09:18:29,PNB,30-03-2026,108.0/110.0,5.08,3.88,1.69,1.1,1.79,2,8%,0.2081,0.21,1680
20-03-2026,09:18:29,PNB,30-03-2026,108.0/110.0,5.08,3.88,1.69,1.1,1.79,2,8%,0.2081,0.21,1680
20-03-2026,09:18:35,PNB,30-03-2026,108.0/109.0,5.08,4.5,1.26,1.1,0.74,1,10%,0.2492,0.26,2080
20-03-2026,09:18:35,PNB,30-03-2026,108.0/111.0,5.08,3.15,1.92,1.1,2.75,3,10%,0.2492,0.25,2000
20-03-2026,09:18:35,PNB,30-03-2026,108.0/113.0,5.08,2.06,2.81,1.1,4.73,5,10%,0.2492,0.27,2160
20-03-2026,09:18:35,PNB,30-03-2026,108.0/115.0,5.08,1.26,4.03,1.1,6.75,7,10%,0.2492,0.25,2000
20-03-2026,09:18:35,PNB,30-03-2026,112.0/113.0,2.37,2.06,2.81,2.43,0.69,1,12%,0.2903,0.31,2480
20-03-2026,09:18:35,PNB,30-03-2026,112.0/115.0,2.37,1.26,4.03,2.43,2.71,3,10%,0.2492,0.29,2320
20-03-2026,09:18:35,PNB,30-03-2026,112.0/117.0,2.37,0.73,5.58,2.43,4.79,5,8%,0.2081,0.21,1680
